German,English,Example 1 (DE),Example 1 (EN),Example 2 (DE),Example 2 (EN)
auswendig lernen (verb),"to learn by heart, to memorize",Der Schüler hat sein Vortrag auswendig gelernt.,The student has learned his speech by heart.,Ich muss mein Gedicht für die Prüfung auswendig lernen.,I need to memorize my poem for the exam.
das Verständnis (noun),understanding,"Der Lehrer erwartet, dass die Schüler ein hohes Maß an Verständnis für den Stoff zeigen.",The teacher expects the students to show a high level of understanding for the subject matter.,"Ich habe das Problem nicht, aber ich verstehe, warum mein Freund sich Sorgen macht.","I don't have the problem, but I understand why my friend is worried."
demnach (adverb),"accordingly, consequently",Demnach muss der Vertrag noch einmal überprüft werden.,"Accordingly, the contract needs to be checked again.","Ich denke, wir sollten uns entscheiden und demnach handeln.",I think we should make a decision and act accordingly.
demzufolge (adverb),"therefore, consequently",Demzufolge muss die Firma Insolvenz anmelden.,"Therefore, the company must file for bankruptcy.","Ich bin müde, demzufolge gehe ich jetzt schlafen.","I'm tired, so I'm going to sleep now."
der Sinn (noun),"sense, meaning",Ich verstehe nicht den Sinn dieser Nachricht.,I don't understand the meaning of this message.,Was ist der Sinn deiner Bemerkung?,What do you mean by that?
derart (adverb),"so, thus","Der Film ist derart gut, dass ich ihn mehrmals gesehen habe.",The film is so good that I have seen it multiple times.,"Ich bin derart müde, dass ich mich gleich ins Bett legen werde.",I am so tired that I will go to bed right away.
die Erkenntnis (noun),"a realization, insight",Die Erkenntnis kam mir plötzlich zu Bewusstsein.,The realization suddenly came to my awareness.,"Ich hatte die Erkenntnis, dass ich mich geirrt habe.",I realized that I had made a mistake.
die Erkenntnistheorie (noun),theory of knowledge,Die Erkenntnistheorie ist ein wichtiger Teil der Philosophie.,The theory of knowledge is an important part of philosophy.,"Ich habe mich für die Erkenntnistheorie entschieden, weil ich wissen wollte, wie wir Wissen erlangen.",I chose the theory of knowledge because I wanted to know how we acquire knowledge.
die Offenheit (noun),openness,Die Offenheit der Gesellschaft gegenüber neuen Ideen ist sehr wichtig.,The openness of society towards new ideas is very important.,"Mein Vater hat eine offene Art, über seine Probleme zu sprechen.",My father has an open way of talking about his problems.
die Praxis (noun),"practice, practical experience",Der Arzt hat viele Jahre in der Klinik die Praxis gemacht.,The doctor has made a lot of practice in the clinic for many years.,Ich habe vor dem Studium eine Praktikumsstelle bei einem Architekten gefunden.,I found an internship with an architect before my studies.
die Theorie (noun),theory,Die neue Theorie hat die Wissenschaftsgemeinde aufgeschreckt.,The new theory has shocked the scientific community.,"Ich habe mich für die Theorie entschieden, weil sie am plausibelsten war.",I chose the theory because it seemed most plausible.
die Vernunft (noun),"reason, rationality",Die Vernunft ist der beste Ratgeber.,Reason is the best advisor.,"Ich habe mich mit meiner Vernunft entschieden, nicht mit dem Herzen.","I decided with my reason, not with my heart."
die Weisheit (noun),wisdom,Die Weisheit der Ältesten ist unübertroffen.,The wisdom of the elders is unmatched.,Ich habe viel Weisheit aus dem Buch gelernt.,I have learned a lot of wisdom from the book.
durch Fehler lernen (phrase),to learn from mistakes,Durch Fehler lernen wir am meisten.,We learn the most from our mistakes.,"Ich habe durch meine Fehler gelernt, dass ich vorsichtiger sein muss.",I learned through my mistakes that I need to be more careful.
durch Traditionen lernen (phrase),to learn through traditions,Die jungen Leute haben durch ihre Großeltern viel über die Geschichte des Dorfes gelernt.,The young people have learned a lot about the village's history from their grandparents.,"Ich habe durch meine Traditionen als Kind gelernt, dass man immer für seine Familie da sein muss.",I learned through my traditions as a child that one must always be there for one's family.
Erfahrungen sammeln (verb),to gain experience,Durch seine Auslandsaufenthalte hat er viel Erfahrung im Umgang mit anderen Kulturen gesammelt.,"Through his stays abroad, he has gained a lot of experience in dealing with other cultures.","Ich habe bei meinem ersten Job viele Erfahrungen gesammelt, die mir jetzt helfen, mein eigenes Unternehmen zu führen.",I have gathered many experiences at my first job that help me now to run my own business.
folglich (adverb),"therefore, consequently","Die Wettervorhersage war falsch, folglich blieb ich zu Hause.","The weather forecast was wrong, so I stayed at home.","Ich habe mich entschieden, nicht mehr zum Konzert zu gehen, folglich kann ich das Geld zurückgeben.","I have decided not to go to the concert anymore, so I can return the money."
infolge (preposition),"as a result of, due to",Die Verzögerung war infolge des Unwetters.,The delay was due to the bad weather.,"Ich bin müde, weil ich gestern bis spät aufgewacht bin, infolge meines Alkoholkonsums.","I'm tired because I stayed up late last night, as a result of my alcohol consumption."
